"csoc","ctie","ltie","cnatie","rtie","clang","cdevise","datmod","cusermod","idtva","ccdliv","cfmtie","gencod","ctiec","cmdliv","zinutil","ctiex1","ctiex2","ctiex3","datcre","cusercre","cpos","tel","ville","cfmcpti","tconfcde","appjour","appheured","appheuref","derncde","note","etat","tdiv","csocoff","ctieoff","csnatie","cacheteur","cappro","cdatpx","admstamp","ctieapayer","cptad","sensad","tcee","tdeb","csocclt","ctieclt","cetabclt","csocor","cetabor","baseor","ttieint","csoctieint","cetabtieint","dtapp","tstkfrs","csocdepfrs","cetabdepfrs","cdepotfrs","cdelvar","ctrlfac","datrep","cuserrep","cetatrep","vilcdliv","siret","tstkpref","cetabarr","clieuarr","csocdeppref","cetabdeppref","cdepotpref"
"CL","4010ALCAS","ALCAS","FRS","ALCAS","FRA","EUR","01/07/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","50142","+39 055 732591","FIRENZE","FOU","True","","0","0","02/03/2021 00:00:00","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010ALCAS","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010FUSE","FUSEAU","FRS","FUSEAU","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","49070","02 41 35 10 90","BEAUCOUZE","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010FUSE","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010GIUL","GIULIANO TARTUFI","FRS","TARTUFI","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","06026","","PIETRALUNGA (PG)","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010GIUL","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010INDU","INDUTEX","FRS","INDUTEX","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","75014","","PARIS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010INDU","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010MANL","MANLEY","FRS","MANLEY","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","","06 05 54 23 09","MONTAGUE GARDENS","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010MANL","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010MILHE","MILHE & AVONS","FRS","MILHE & AVON","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","13384","04 91 10 66 66","MARSEILLE Cedex 13","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","4","4010MILHE","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010NOUIL","NOUILLES SECHES APOLLO WOK","FRS","APOLLO WOK","FRA","EUR","28/01/2021 00:00:00","VIFINTEG","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","","","","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","0","4010NOUIL","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010POLI","POLITEC","FRS","POLITEC","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","67640","03 88 64 37 13","FEGERSHEIM","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010POLI","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010RAMON","RAMON TALLERES","FRS","RAMON","FRA","EUR","03/06/2021 00:00:00","FRAIAL","","","IMP","0","","","","","","","24/12/2020 00:00:00","VIF","08339","937531311","VILASSAR DE DALT - BARCELONA","FOU","True","","0","0","","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","8","4010RAMON","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
"CL","4010BELG","BELGIUM FOOD PRODUCT","FRS","BELGIUM","FRA","EUR","02/06/2021 00:00:00","FRAIAL","","","LOC","0","","","","","","","24/12/2020 00:00:00","VIF","97460","06 93 03 79 64","SAINT-PAUL","FOU","True","","0","0","02/03/2021 00:00:00","","REF","False","","","FRS","DAVSCH","DAVSCH","CDE","12","4010BELG","","FRS","False","False","","","","CL","$$","1","False","","","","False","","","","","CUM","","","","","","False","","","","",""
